,DATE,TIME,RAW WATER FLOW IN ML,CLEAR WATER SUMP LEVEL IN M,CLEAR WATER PUMPING FLOW ML,TREATED WATER PRODUCTION IN ML,REMARKS,DATETIME,Hour,YEAR,MONTH,MONTH-YEAR
0,2021-12-01,01:00:00,3.51043,2.84,2.77743,3.39739,No Remarks,2021-12-01 01:00:00,1,2021,12,12-2021
1,2021-12-01,02:00:00,3.49087,3.12,2.79467,3.37846,No Remarks,2021-12-01 02:00:00,2,2021,12,12-2021
2,2021-12-01,03:00:00,3.50543,3.44,2.79543,3.39256,No Remarks,2021-12-01 03:00:00,3,2021,12,12-2021
3,2021-12-01,04:00:00,3.5155600000000002,3.72,2.7982600000000004,3.4023600000000003,No Remarks,2021-12-01 04:00:00,4,2021,12,12-2021
4,2021-12-01,05:00:00,3.5073200000000004,4.01,2.8088699999999998,3.3943800000000004,No Remarks,2021-12-01 05:00:00,5,2021,12,12-2021
5,2021-12-01,06:00:00,2.4067600000000002,3.62,2.8100500000000004,2.32926,No Remarks,2021-12-01 06:00:00,6,2021,12,12-2021
6,2021-12-01,07:00:00,2.41013,3.35,,2.33252,No Remarks,2021-12-01 07:00:00,7,2021,12,12-2021
7,2021-12-01,08:00:00,1.21554,3.01,0.9359,1.1764000000000001,No Remarks,2021-12-01 08:00:00,8,2021,12,12-2021
8,2021-12-01,09:00:00,1.22733,2.62,0.92789,1.18781,No Remarks,2021-12-01 09:00:00,9,2021,12,12-2021
9,2021-12-01,10:00:00,1.21027,2.66,0.92842,1.1713,No Remarks,2021-12-01 10:00:00,10,2021,12,12-2021
10,2021-12-01,11:00:00,1.21987,2.68,0.9285599999999999,1.18059,No Remarks,2021-12-01 11:00:00,11,2021,12,12-2021
11,2021-12-01,12:00:00,1.2241700000000002,2.75,0.9303400000000001,1.18475,No Remarks,2021-12-01 12:00:00,12,2021,12,12-2021
12,2021-12-01,13:00:00,1.21015,2.78,0.93618,1.17118,No Remarks,2021-12-01 13:00:00,13,2021,12,12-2021
13,2021-12-01,14:00:00,1.2156,2.76,0.93214,1.17646,No Remarks,2021-12-01 14:00:00,14,2021,12,12-2021
14,2021-12-01,15:00:00,1.2230699999999999,2.74,0.93516,1.1836900000000001,No Remarks,2021-12-01 15:00:00,15,2021,12,12-2021
15,2021-12-01,16:00:00,1.22034,2.68,0.93347,1.18105,No Remarks,2021-12-01 16:00:00,16,2021,12,12-2021
16,2021-12-01,17:00:00,1.2254500000000002,2.63,0.92531,1.18599,No Remarks,2021-12-01 17:00:00,17,2021,12,12-2021
17,2021-12-01,18:00:00,1.21832,2.6,0.9297200000000001,1.17909,No Remarks,2021-12-01 18:00:00,18,2021,12,12-2021
18,2021-12-01,19:00:00,1.22743,2.31,1.83754,1.18791,No Remarks,2021-12-01 19:00:00,19,2021,12,12-2021
19,2021-12-01,20:00:00,2.44556,1.81,2.7437199999999997,2.36681,No Remarks,2021-12-01 20:00:00,20,2021,12,12-2021
20,2021-12-01,21:00:00,2.4589600000000003,1.5,2.70209,2.3797800000000002,No Remarks,2021-12-01 21:00:00,21,2021,12,12-2021
21,2021-12-01,22:00:00,3.55823,1.6,2.7087399999999997,3.4436500000000003,No Remarks,2021-12-01 22:00:00,22,2021,12,12-2021
22,2021-12-01,23:00:00,3.5187399999999998,1.9,2.67994,3.40544,No Remarks,2021-12-01 23:00:00,23,2021,12,12-2021
23,2021-12-02,00:00:00,3.52301,2.1,2.70209,3.4095700000000004,No Remarks,2021-12-02 00:00:00,0,2021,12,12-2021
24,2021-12-02,01:00:00,3.52088,2.3,2.7220400000000002,3.4075100000000003,No Remarks,2021-12-02 01:00:00,1,2021,12,12-2021
25,2021-12-02,02:00:00,3.55396,2.5,2.76192,3.43952,No Remarks,2021-12-02 02:00:00,2,2021,12,12-2021
26,2021-12-02,03:00:00,3.51127,2.86,2.7453000000000003,3.39821,No Remarks,2021-12-02 03:00:00,3,2021,12,12-2021
27,2021-12-02,04:00:00,3.54782,3.16,2.74034,3.43358,No Remarks,2021-12-02 04:00:00,4,2021,12,12-2021
28,2021-12-02,05:00:00,3.54012,3.4,2.74223,3.42613,No Remarks,2021-12-02 05:00:00,5,2021,12,12-2021
29,2021-12-02,06:00:00,3.54223,3.7,2.7433400000000003,3.42817,No Remarks,2021-12-02 06:00:00,6,2021,12,12-2021
