Unnamed: 0,ID,MeterId,Time,Phase1_W,Phase1_I,Phase1_V_RY,Phase1_pf,Phase2_W,Phase2_I,Phase2_V_YB,Phase2_pf,Phase3_W,Phase3_I,Phase3_V_BR,Phase3_pf,W,VA,PF,KWh_Im,KWh_Ex,KVAh,Lh
0,200,5,2024-10-11 14:50:20,-50155.187,230.477,422.07,-0.888,-46316.491,215.585,423.525,-0.883,-48344.929,229.16,425.986,-0.856,-144816.718,165189.594,-0.876,0.15,10872.05,12385.409,0
1,200,6,2024-10-11 14:50:23,0.0,0.0,0.077,1.0,0.0,0.0,0.077,1.0,0.0,0.0,0.159,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
2,200,1,2024-10-11 14:51:25,-41153.499,196.609,423.652,-0.852,43847.551,206.069,421.775,0.879,-48165.87,222.923,426.531,-0.885,-45471.722,52674.738,-0.862,0.17,3827.97,4434.33,0
3,200,2,2024-10-11 14:51:28,-49110.96,224.704,421.696,-0.892,-44273.101,205.183,423.437,-0.887,-46148.925,218.013,426.399,-0.859,-139557.952,158421.938,-0.88,0.17,12353.609,14062.13,0
4,200,3,2024-10-11 14:51:31,0.0,0.0,0.066,1.0,0.0,0.0,0.063,1.0,0.0,0.0,0.117,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
5,200,5,2024-10-11 14:51:33,-50646.601,232.442,421.462,-0.889,-46068.21,214.229,422.994,-0.886,-48221.726,229.527,426.128,-0.853,-145064.093,165377.766,-0.876,0.15,10875.0,12388.77,0
6,200,6,2024-10-11 14:51:36,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
7,200,1,2024-10-11 14:52:39,-41043.964,198.21,421.439,-0.857,43426.156,202.807,419.0,0.887,-48224.796,221.673,424.509,-0.893,-45861.726,52763.867,-0.868,0.17,3828.89,4435.41,0
8,200,2,2024-10-11 14:52:41,-49214.257,224.841,422.05,-0.893,-43869.038,203.76,424.613,-0.884,-46202.897,218.965,427.419,-0.855,-139317.499,158496.797,-0.878,0.17,12356.44,14065.341,0
9,200,3,2024-10-11 14:52:52,0.0,0.0,0.0,1.0,0.0,0.0,0.058,1.0,0.0,0.0,0.094,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
10,200,5,2024-10-11 14:52:55,-50415.448,229.829,425.168,-0.888,-46005.323,212.817,426.853,-0.882,-48318.683,228.259,429.638,-0.852,-144739.452,165375.781,-0.874,0.15,10878.26,12392.489,0
11,200,6,2024-10-11 14:52:57,0.0,0.0,0.088,1.0,0.0,0.0,0.077,1.0,0.0,0.0,0.153,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
12,200,1,2024-10-11 14:54:00,-41110.815,194.055,428.201,-0.854,43494.688,202.323,425.932,0.879,-47892.632,218.853,430.762,-0.888,-45508.761,52443.988,-0.867,0.17,3829.93,4436.61,0
13,200,2,2024-10-11 14:54:02,-48772.261,221.589,426.013,-0.89,-44243.788,203.673,427.717,-0.884,-46025.823,215.612,430.344,-0.858,-139119.218,158362.516,-0.877,0.17,12359.58,14068.91,0
14,200,3,2024-10-11 14:54:05,0.0,0.0,0.044,1.0,0.0,0.0,0.031,1.0,0.0,0.0,0.049,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
15,200,5,2024-10-11 14:54:08,-50310.573,229.169,425.841,-0.887,-46079.401,212.734,427.388,-0.882,-48203.604,227.298,430.157,-0.852,-144593.483,165209.594,-0.874,0.15,10881.21,12395.87,0
16,200,6,2024-10-11 14:54:10,0.0,0.0,0.077,1.0,0.0,0.0,0.044,1.0,0.0,0.0,0.108,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
17,200,1,2024-10-11 14:55:13,-40641.19,190.823,427.192,-0.855,44038.59,202.134,426.297,0.887,-48432.077,220.261,431.322,-0.886,-45034.581,52450.324,-0.858,0.17,3830.83,4437.67,0
18,200,2,2024-10-11 14:55:16,-49318.241,224.253,425.995,-0.888,-44387.882,203.514,426.886,-0.889,-45533.319,214.214,431.133,-0.855,-139239.452,158444.906,-0.878,0.17,12362.42,14072.141,0
19,200,3,2024-10-11 14:55:26,0.0,0.0,0.0,1.0,0.0,0.0,0.038,1.0,0.0,0.0,0.073,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
20,200,5,2024-10-11 14:55:29,-51107.507,231.988,425.967,-0.888,-45817.851,210.909,427.491,-0.885,-48085.456,227.901,431.731,-0.846,-145010.812,165857.891,-0.873,0.15,10884.471,12399.6,0
21,200,6,2024-10-11 14:55:32,0.0,0.0,0.044,1.0,0.0,0.0,0.063,1.0,0.0,0.0,0.099,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
22,200,1,2024-10-11 14:56:35,-40956.124,196.19,424.179,-0.844,43634.227,205.235,421.772,0.873,-48144.874,223.046,426.919,-0.879,-45527.577,52614.527,-0.864,0.17,3831.87,4438.87,0
23,200,2,2024-10-11 14:56:37,-49088.284,224.214,421.938,-0.891,-44222.792,205.166,423.868,-0.887,-45993.144,217.073,426.832,-0.859,-139336.905,158237.734,-0.88,0.17,12365.569,14075.729,0
24,200,3,2024-10-11 14:56:40,0.0,0.0,0.054,1.0,0.0,0.0,0.044,1.0,0.0,0.0,0.083,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
25,200,5,2024-10-11 14:56:42,-50626.097,232.388,421.706,-0.89,-46023.546,213.584,423.648,-0.885,-48255.499,230.123,426.665,-0.852,-145004.28,165397.969,-0.876,0.15,10887.431,12402.98,0
26,200,6,2024-10-11 14:56:45,0.0,0.0,0.077,1.0,0.0,0.0,0.063,1.0,0.0,0.0,0.133,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
27,200,1,2024-10-11 14:57:48,-40118.683,193.791,420.886,-0.846,43939.555,206.517,420.44,0.883,-48333.042,225.77,425.776,-0.877,-44512.269,52648.0,-0.844,0.17,3832.78,4439.94,0
28,200,2,2024-10-11 14:57:50,-49391.132,227.359,420.425,-0.888,-44485.929,205.535,420.808,-0.895,-45000.812,214.37,425.668,-0.857,-138950.858,157663.531,-0.88,0.17,12368.391,14078.93,0
29,200,3,2024-10-11 14:57:53,0.0,0.0,0.058,1.0,0.0,0.0,0.038,1.0,0.0,0.0,0.073,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
30,200,5,2024-10-11 14:57:56,-50924.589,235.309,420.223,-0.884,-46415.229,215.17,420.101,-0.894,-47138.386,225.785,425.375,-0.852,-144563.765,164622.125,-0.877,0.15,10890.369,12406.32,0
31,200,6,2024-10-11 14:57:58,0.0,0.0,0.077,1.0,0.0,0.0,0.077,1.0,0.0,0.0,0.165,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
32,200,1,2024-10-11 14:59:01,-39441.976,187.037,422.476,-0.855,44572.387,204.209,423.732,0.898,-48754.733,224.302,428.999,-0.867,-43475.175,52638.887,-0.825,0.17,3833.68,4441.01,0
33,200,2,2024-10-11 14:59:04,-49792.026,228.98,423.352,-0.881,-45040.323,205.764,422.42,-0.9,-44115.437,209.79,428.995,-0.853,-138947.687,157998.469,-0.878,0.17,12371.22,14082.141,0
34,200,3,2024-10-11 14:59:14,0.0,0.0,0.0,1.0,0.0,0.0,0.022,1.0,0.0,0.0,0.066,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
35,200,5,2024-10-11 14:59:17,-51092.655,236.154,424.768,-0.875,-47420.733,216.824,422.143,-0.899,-45996.507,219.475,428.97,-0.851,-144594.671,165022.016,-0.875,0.15,10893.631,12410.04,0
