DATE,TIME,TREATED WATER PRODUCTION IN m3/h,REMARKS
2021-12-01,01:00:00,3397.39,No Remarks
2021-12-01,02:00:00,3378.46,No Remarks
2021-12-01,03:00:00,3392.56,No Remarks
2021-12-01,04:00:00,3402.36,No Remarks
2021-12-01,05:00:00,3394.38,No Remarks
2021-12-01,06:00:00,2329.26,No Remarks
2021-12-01,07:00:00,2332.52,No Remarks
2021-12-01,08:00:00,1176.4,No Remarks
2021-12-01,09:00:00,1187.81,No Remarks
2021-12-01,10:00:00,1171.3,No Remarks
2021-12-01,11:00:00,1180.59,No Remarks
2021-12-01,12:00:00,1184.75,No Remarks
2021-12-01,13:00:00,1171.18,No Remarks
2021-12-01,14:00:00,1176.46,No Remarks
2021-12-01,15:00:00,1183.69,No Remarks
2021-12-01,16:00:00,1181.05,No Remarks
2021-12-01,17:00:00,1185.99,No Remarks
2021-12-01,18:00:00,1179.09,No Remarks
2021-12-01,19:00:00,1187.91,No Remarks
2021-12-01,20:00:00,2366.81,No Remarks
2021-12-01,21:00:00,2379.78,No Remarks
2021-12-01,22:00:00,3443.65,No Remarks
2021-12-01,23:00:00,3405.44,No Remarks
2021-12-02,00:00:00,3409.57,No Remarks
2021-12-02,01:00:00,3407.51,No Remarks
2021-12-02,02:00:00,3439.52,No Remarks
2021-12-02,03:00:00,3398.21,No Remarks
2021-12-02,04:00:00,3433.58,No Remarks
2021-12-02,05:00:00,3426.13,No Remarks
2021-12-02,06:00:00,3428.17,No Remarks
2021-12-02,07:00:00,2366.6,No Remarks
2021-12-02,08:00:00,2372.29,No Remarks
2021-12-02,09:00:00,2370.48,No Remarks
2021-12-02,10:00:00,2368.42,No Remarks
2021-12-02,11:00:00,3434.35,No Remarks
2021-12-02,12:00:00,3436.43,No Remarks
2021-12-02,13:00:00,3430.23,No Remarks
2021-12-02,14:00:00,3433.33,No Remarks
2021-12-02,15:00:00,3396.15,No Remarks
2021-12-02,16:00:00,3412.67,No Remarks
2021-12-02,17:00:00,3403.38,No Remarks
2021-12-02,18:00:00,3417.83,No Remarks
2021-12-02,19:00:00,2381.84,No Remarks
2021-12-02,20:00:00,2391.14,No Remarks
2021-12-02,21:00:00,2393.2,No Remarks
2021-12-02,22:00:00,2389.07,No Remarks
2021-12-02,23:00:00,2401.47,No Remarks
2021-12-02,00:00:00,2395.28,No Remarks
2021-12-03,01:00:00,0.0,No Remarks
2021-12-03,02:00:00,2479.97,No Remarks
2021-12-03,03:00:00,2233.11,No Remarks
